personal_id,case_id,payment_date,gross_sek,tax_withheld_sek,net_sek,benefit_type
19851128-8433,-AS-20250018,2025-11-25,6914,1383,5531,Activity support
19851128-8433,-AS-20250018,2025-12-25,6914,1383,5531,Activity support
19660223-4258,-AS-20250019,2025-09-25,6533,1307,5226,Activity support
19660223-4258,-AS-20250019,2025-10-25,6533,1307,5226,Activity support
19660223-4258,-AS-20250019,2025-11-25,6533,1307,5226,Activity support
19860322-6038,-AS-20250020,2025-01-25,3505,701,2804,Activity support
19860322-6038,-AS-20250020,2025-02-25,3505,701,2804,Activity support
19860322-6038,-AS-20250020,2025-03-25,3505,701,2804,Activity support
19860322-6038,-AS-20250020,2025-04-25,3505,701,2804,Activity support
19860322-6038,-AS-20250020,2025-05-25,3505,701,2804,Activity support
19860322-6038,-AS-20250020,2025-06-25,3505,701,2804,Activity support
19791117-2290,-AS-20250021,2025-01-25,11349,2270,9079,Activity support
19791117-2290,-AS-20250021,2025-02-25,11349,2270,9079,Activity support
19791117-2290,-AS-20250021,2025-03-25,11349,2270,9079,Activity support
19910915-3060,-AS-20250022,2025-04-25,16379,3276,13103,Activity support
19910915-3060,-AS-20250022,2025-05-25,16379,3276,13103,Activity support
19910915-3060,-AS-20250022,2025-06-25,16379,3276,13103,Activity support
19981007-3705,-AS-20250023,2025-01-25,3795,759,3036,Activity support
19981007-3705,-AS-20250023,2025-02-25,3795,759,3036,Activity support
19981007-3705,-AS-20250023,2025-03-25,3795,759,3036,Activity support
19981007-3705,-AS-20250023,2025-04-25,3795,759,3036,Activity support
19981007-3705,-AS-20250023,2025-05-25,3795,759,3036,Activity support
19981007-3705,-AS-20250023,2025-06-25,3795,759,3036,Activity support
